Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Dominica,DMA,16445.2094399922
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Dominican Republic,DOM,18793.746264786
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Ecuador,ECU,13623.9073139322
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,"Egypt, Arab Rep.",EGY,13983.2778426073
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,El Salvador,SLV,9785.31520216203
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Equatorial Guinea,GNQ,26343.4920286617
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Eritrea,ERI,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Estonia,EST,37228.0649706755
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Eswatini,SWZ,9109.481531926
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Ethiopia,ETH,2113.05461006002
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Faroe Islands,FRO,63218.5550026083
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Fiji,FJI,12430.5771617959
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Finland,FIN,54926.4521193695
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,France,FRA,52353.8633639783
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,French Polynesia,PYF,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Gabon,GAB,20923.2475393515
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,"Gambia, The",GMB,2442.69667446057
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Georgia,GEO,15442.9564358054
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Germany,DEU,60181.1002169237
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Ghana,GHA,5628.20204652649
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Gibraltar,GIB,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Greece,GRC,31468.2284117132
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Greenland,GRL,65345.93201087
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Grenada,GRD,15019.5213783381
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Guam,GUM,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Guatemala,GTM,11128.3212814571
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Guinea,GIN,3136.37231343516
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Guinea-Bissau,GNB,2085.31414239822
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Guyana,GUY,12498.9272630321
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Haiti,HTI,3422.13690198309
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Honduras,HND,5896.15995918934
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,"Hong Kong SAR, China",HKG,63749.4451717062
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Hungary,HUN,32457.8253273034
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Iceland,ISL,63174.4540060534
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,India,IND,6968.1468333825
